Designator,Mid X,Mid Y,Rotation,Layer
C1,175.5,-109.725,90,top
C2,175.5,-113.225,90,top
C3,152.5,-102.75,270,top
C4,159.75,-112.975,270,top
C5,165.75,-102.725,270,top
D1,148,-100.2875,90,top
J1,172.13,-90.98,90,top
J2,148,-109.31,0,top
R1,152.5,-98.175,270,top
R3,148,-96.575,270,top
R4,159.75,-108.425,270,top
R5,165.75,-98.175,270,top
SW1,158.18,-100.525,0,top
SW2,165.5,-110.75,0,top
SW3,171.5,-100.5,0,top
U1,187.575,-105,180,top
